"No.","Time","Source","Destination","Protocol","Length","Info"
"1355","55.740689","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=887 Ack=6257 Win=513 Len=0"
"1358","55.770177","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=887 Ack=6257 Win=513 Len=70 [TCP segment of a reassembled PDU]"
"1363","55.865832","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=6257 Ack=957 Win=3725 Len=0"
"1423","57.089227","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=6257 Ack=957 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"1424","57.094312","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=957 Ack=6332 Win=513 Len=71 [TCP segment of a reassembled PDU]"
"1429","57.178549","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=6332 Ack=1028 Win=3725 Len=0"
"1610","70.957857","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=6332 Ack=1028 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"1611","70.957857","157.240.251.61","192.168.0.10","TCP","233","5222  >  64144 [PSH, ACK] Seq=6844 Ack=1028 Win=3725 Len=179 [TCP segment of a reassembled PDU]"
"1612","70.958256","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1028 Ack=7023 Win=516 Len=0"
"1616","70.997407","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1028 Ack=7023 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"1617","71.090375","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=7023 Ack=1098 Win=3725 Len=0"
"1747","74.356031","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=7023 Ack=1098 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"1749","74.361249","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=1098 Ack=7098 Win=516 Len=71 [TCP segment of a reassembled PDU]"
"1753","74.433327","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=7098 Ack=1169 Win=3725 Len=0"
"1797","77.954767","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=7098 Ack=1169 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"1798","77.956210","157.240.251.61","192.168.0.10","TCP","233","5222  >  64144 [PSH, ACK] Seq=7610 Ack=1169 Win=3725 Len=179 [TCP segment of a reassembled PDU]"
"1800","77.956548","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1169 Ack=7789 Win=513 Len=0"
"1804","77.986490","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1169 Ack=7789 Win=513 Len=70 [TCP segment of a reassembled PDU]"
"1806","78.068744","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=7789 Ack=1239 Win=3725 Len=0"
"1891","81.311776","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=7789 Ack=1239 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"1892","81.318162","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=1239 Ack=7864 Win=513 Len=71 [TCP segment of a reassembled PDU]"
"1893","81.388472","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=7864 Ack=1310 Win=3725 Len=0"
"2394","84.149693","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=7864 Ack=1310 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"2395","84.149693","157.240.251.61","192.168.0.10","XMPP/XML","233","UNKNOWN PACKET "
"2408","84.150835","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1310 Ack=8555 Win=516 Len=0"
"2429","84.186836","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1310 Ack=8555 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"2430","84.194977","157.240.251.61","192.168.0.10","TCP","233","[TCP Spurious Retransmission] 5222  >  64144 [PSH, ACK] Seq=8376 Ack=1310 Win=3725 Len=179"
"2431","84.195447","192.168.0.10","157.240.251.61","TCP","66","[TCP Dup ACK 2408#1] 64144  >  5222 [ACK] Seq=1380 Ack=8555 Win=516 Len=0 SLE=8376 SRE=8555"
"2435","84.257766","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=8555 Ack=1380 Win=3725 Len=0"
"2437","84.344034","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=8555 Ack=1380 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"2439","84.401011","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1380 Ack=8630 Win=516 Len=0"
"2448","84.558646","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=1380 Ack=8630 Win=516 Len=71 [TCP segment of a reassembled PDU]"
"2454","84.665466","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=8630 Ack=1451 Win=3725 Len=0"
"10668","100.682746","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=8630 Ack=1451 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"10669","100.682746","157.240.251.61","192.168.0.10","TCP","233","5222  >  64144 [PSH, ACK] Seq=9142 Ack=1451 Win=3725 Len=179 [TCP segment of a reassembled PDU]"
"10672","100.683957","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1451 Ack=9321 Win=513 Len=0"
"10674","100.717216","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1451 Ack=9321 Win=513 Len=70 [TCP segment of a reassembled PDU]"
"10675","100.790061","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=9321 Ack=1521 Win=3725 Len=0"
"10780","104.013737","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=9321 Ack=1521 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"10781","104.020328","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=1521 Ack=9396 Win=513 Len=71 [TCP segment of a reassembled PDU]"
"10782","104.100315","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=9396 Ack=1592 Win=3725 Len=0"
"10812","106.776822","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=9396 Ack=1592 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"10813","106.776974","157.240.251.61","192.168.0.10","TCP","217","5222  >  64144 [PSH, ACK] Seq=9908 Ack=1592 Win=3725 Len=163 [TCP segment of a reassembled PDU]"
"10814","106.777366","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1592 Ack=10071 Win=516 Len=0"
"10816","106.812688","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1592 Ack=10071 Win=516 Len=70 [TCP segment of a reassembled PDU]"
"10817","106.885033","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=10071 Ack=1662 Win=3725 Len=0"
"10823","107.064369","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=10071 Ack=1662 Win=3725 Len=75 [TCP segment of a reassembled PDU]"
"10824","107.110140","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=1662 Ack=10146 Win=516 Len=71 [TCP segment of a reassembled PDU]"
"10843","107.192331","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=10146 Ack=1733 Win=3725 Len=0"
"10927","112.979106","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=10146 Ack=1733 Win=3725 Len=512 [TCP segment of a reassembled PDU]"
"10928","112.981515","157.240.251.61","192.168.0.10","TCP","233","5222  >  64144 [PSH, ACK] Seq=10658 Ack=1733 Win=3725 Len=179 [TCP segment of a reassembled PDU]"
"10929","112.981685","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=1733 Ack=10837 Win=513 Len=0"
"10934","113.012834","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=1733 Ack=10837 Win=513 Len=70 [TCP segment of a reassembled PDU]"
"10936","113.058019","157.240.251.61","192.168.0.10","TCP","233","[TCP Spurious Retransmission] 5222  >  64144 [PSH, ACK] Seq=10658 Ack=1733 Win=3725 Len=179"
"10937","113.058715","192.168.0.10","157.240.251.61","TCP","66","[TCP Dup ACK 10929#1] 64144  >  5222 [ACK] Seq=1803 Ack=10837 Win=513 Len=0 SLE=10658 SRE=10837"
"10938","113.084382","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=10837 Ack=1803 Win=3725 Len=0"
