"No.","Time","Source","Destination","Protocol","Length","Info"
"729","43.250611","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=2339 Ack=16055 Win=512 Len=0"
"736","43.278543","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=2339 Ack=16410 Win=511 Len=70 [TCP segment of a reassembled PDU]"
"739","43.354843","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=16410 Ack=2409 Win=3735 Len=0"
"744","43.487130","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [ACK] Seq=16410 Ack=2409 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"745","43.487755","157.240.251.61","192.168.0.10","TCP","566","5222  >  64144 [PSH, ACK] Seq=16922 Ack=2409 Win=3735 Len=512 [TCP segment of a reassembled PDU]"
"746","43.487755","157.240.251.61","192.168.0.10","TCP","521","5222  >  64144 [PSH, ACK] Seq=17434 Ack=2409 Win=3735 Len=467 [TCP segment of a reassembled PDU]"
"750","43.488285","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=2409 Ack=17434 Win=516 Len=0"
"753","43.515936","192.168.0.10","157.240.251.61","TCP","124","64144  >  5222 [PSH, ACK] Seq=2409 Ack=17901 Win=514 Len=70 [TCP segment of a reassembled PDU]"
"756","43.594145","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=17901 Ack=2479 Win=3735 Len=0"
"758","43.666427","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=17901 Ack=2479 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"759","43.674357","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=2479 Ack=17976 Win=514 Len=71 [TCP segment of a reassembled PDU]"
"760","43.688940","157.240.251.61","192.168.0.10","TCP","129","5222  >  64144 [PSH, ACK] Seq=17976 Ack=2479 Win=3735 Len=75 [TCP segment of a reassembled PDU]"
"761","43.700095","192.168.0.10","157.240.251.61","TCP","125","64144  >  5222 [PSH, ACK] Seq=2550 Ack=18051 Win=514 Len=71 [TCP segment of a reassembled PDU]"
