"No.","Time","Source","Destination","Protocol","Length","Info"
"57260","202.517911","192.168.0.10","157.240.251.61","TCP","1446","64144  >  5222 [ACK] Seq=68312 Ack=4361 Win=515 Len=1392 [TCP segment of a reassembled PDU]"
"57261","202.517911","192.168.0.10","157.240.251.61","TCP","370","64144  >  5222 [PSH, ACK] Seq=69704 Ack=4361 Win=515 Len=316 [TCP segment of a reassembled PDU]"
"57262","202.602482","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=4361 Ack=66920 Win=4237 Len=0"
"57263","202.698956","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=4361 Ack=70020 Win=4261 Len=0"
"57264","202.932425","157.240.251.61","192.168.0.10","TCP","139","5222  >  64144 [PSH, ACK] Seq=4361 Ack=70020 Win=4261 Len=85 [TCP segment of a reassembled PDU]"
"57280","202.979335","192.168.0.10","157.240.251.61","TCP","54","64144  >  5222 [ACK] Seq=70020 Ack=4446 Win=515 Len=0"
"57284","203.340744","157.240.251.61","192.168.0.10","TCP","126","5222  >  64144 [PSH, ACK] Seq=4446 Ack=70020 Win=4261 Len=72 [TCP segment of a reassembled PDU]"
"57285","203.342765","192.168.0.10","157.240.251.61","TCP","120","64144  >  5222 [PSH, ACK] Seq=70020 Ack=4518 Win=514 Len=66 [TCP segment of a reassembled PDU]"
"57288","203.454482","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=4518 Ack=70086 Win=4261 Len=0"
"57319","203.854555","157.240.251.61","192.168.0.10","TCP","122","5222  >  64144 [PSH, ACK] Seq=4518 Ack=70086 Win=4261 Len=68 [TCP segment of a reassembled PDU]"
"57320","203.856339","192.168.0.10","157.240.251.61","TCP","118","64144  >  5222 [PSH, ACK] Seq=70086 Ack=4586 Win=514 Len=64 [TCP segment of a reassembled PDU]"
"57323","203.962081","157.240.251.61","192.168.0.10","TCP","56","5222  >  64144 [ACK] Seq=4586 Ack=70150 Win=4261 Len=0"
